r2, X, Y, Z,
0,0,0,0,0
0.001017,0.016828,-0.021444,0.01655,
0.000198,0.008822,-0.005219,-0.009623,
0.000061,-0.003232,-0.002648,0.006635,
0.00013,-0.000744,-0.005448,-0.010002,0
0.0002,0.004514,-0.00192,-0.013254,
0.000079,-0.004614,-0.001826,-0.007392,
0.000435,0.007551,-0.006348,-0.018384,
0.000086,-0.004284,-0.002168,-0.007938,
0.000112,0.003771,-0.009854,0.000524,0
0.000047,-0.004438,-0.004083,0.00328,
0.000031,-0.002418,-0.003934,-0.003082,
0.000347,-0.00528,-0.015763,-0.008396,
0.000509,-0.00324,-0.020627,-0.008565,0
0.00301,-0.012802,0.009088,-0.052564,
0.004129,-0.005326,0.019046,-0.061138,
0.05266,0.166005,0.053189,-0.149243,
0.006634,0.033521,0.051163,0.053781,
0.01271,0.072987,0.082148,-0.025185,
0.034952,-0.161352,-0.078236,-0.052887,
0.007017,-0.024457,0.051948,-0.060998,
0.003051,0.051643,0.019559,-0.001126,
0.022206,0.075529,0.077989,-0.102072,0
0.021447,0.128622,0.040608,0.05705,
0.007929,-0.081902,0.025586,0.023794,
0.00023,-0.014808,-0.000788,0.003246,
0.00061,-0.008433,-0.018218,-0.014387,
0.000732,-0.014989,-0.021903,0.005216,
0.00089,0.0091,-0.014478,-0.024447,
0.000193,-0.013077,-0.002357,0.004076,
0.000596,0.021845,-0.009715,-0.004957,0
0.001597,0.012172,-0.018317,0.033371,
0.000526,0.01701,-0.015339,-0.001001,
0.00028,-0.000838,-0.010964,-0.012627,
