@RELATION train_movement

@ATTRIBUTE time NUMERIC
@ATTRIBUTE r2 NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE z NUMERIC
@ATTRIBUTE movement {moving,stopped}

@DATA
9.600000, 0.000000, 0.000000, 0.000000, 0.000000, moving
9.800000, 0.000000, 0.000000, 0.000000, 0.000000, moving
10.000000, 0.000000, 0.000000, 0.000000, 0.000000, moving
10.200000, 0.011761, -0.105777, -0.020285, -0.012685, moving
10.400000, 0.001303, -0.032667, -0.006574, -0.013896, moving
10.600000, 0.000266, -0.008340, -0.003758, -0.013501, moving
10.800000, 0.000269, -0.014929, -0.006788, 0.000575, moving
11.000000, 0.000107, -0.007206, -0.004212, 0.006105, moving
11.200000, 0.000108, -0.002145, -0.009885, -0.002357, moving
11.400000, 0.030534, -0.005927, 0.008986, 0.174409, moving
11.600000, 0.003437, -0.017283, -0.003437, -0.055916, stopped
11.800000, 0.000371, 0.005132, -0.017329, -0.006666, stopped
12.000000, 0.000876, -0.020574, -0.018170, -0.011056, stopped
12.200000, 0.000284, -0.010730, -0.005161, 0.011911, stopped
12.400000, 0.002414, 0.031271, 0.003886, 0.037702, stopped
12.600000, 0.000249, 0.003927, 0.005497, -0.014262, stopped
12.800000, 0.000114, -0.003568, -0.003444, -0.009459, stopped
13.000000, 0.000392, -0.016903, -0.004261, -0.009406, stopped
13.200000, 0.002240, -0.019420, -0.020809, -0.037815, stopped
13.400000, 0.010561, 0.043454, 0.032925, 0.087110, stopped
13.600000, 0.001827, 0.037814, 0.005483, -0.019161, stopped
13.800000, 0.000199, 0.013996, -0.000405, -0.001746, stopped
14.000000, 0.000053, -0.004985, -0.002698, 0.004584, stopped
14.200000, 0.000176, -0.008429, -0.003192, -0.009733, stopped
14.400000, 0.000043, 0.004885, 0.004174, -0.001478, stopped
14.600000, 0.000078, 0.002177, 0.007053, 0.004818, stopped
14.800000, 0.000007, 0.000214, 0.002125, 0.001468, stopped
15.000000, 0.000242, 0.005718, 0.001915, -0.014340, stopped
15.200000, 0.000043, -0.006369, 0.001093, 0.001014, stopped
15.400000, 0.000023, 0.003581, -0.003206, 0.000510, stopped
15.600000, 0.000030, -0.002091, -0.004816, 0.001412, stopped
15.800000, 0.000154, -0.000776, 0.002256, 0.012181, stopped
16.000000, 0.000117, 0.000783, -0.001839, 0.010621, stopped
16.200000, 0.000133, -0.000126, 0.004277, 0.010718, stopped
16.400000, 0.000345, 0.002791, 0.003784, 0.017983, stopped
16.600000, 0.000011, -0.003277, 0.000585, -0.000236, stopped
16.800000, 0.000080, -0.003899, -0.007315, 0.003295, stopped
