r2, X, Y, Z
0.000000, 0.000000, 0.000000, 0.000000
0.008266, 0.075523, -0.050136, -0.006948, 0, Accelerating
0.000500, 0.013984, -0.014182, -0.010159
0.010654, -0.021975, -0.067202, -0.075203
0.000221, 0.005083, 0.011226, -0.008311
0.000596, 0.012235, 0.005777, -0.020332
0.007780, -0.086153, 0.001094, -0.018876
0.000461, -0.005174, -0.017796, -0.010850
0.020771, 0.140625, -0.017277, 0.026396
0.006660, -0.009786, 0.077032, 0.025108
0.012597, 0.027027, 0.052221, -0.095603
0.039817, 0.008113, 0.001405, 0.199371
0.005891, -0.030855, -0.039849, -0.057887
0.001763, -0.027850, -0.031330, -0.002469
0.001206, -0.021462, 0.011770, 0.024641
0.005607, 0.033362, 0.051600, 0.042792
0.004095, 0.055789, -0.004117, 0.031067
0.001159, 0.027727, -0.008702, 0.017739
0.002288, 0.044261, -0.012199, 0.013405
0.002081, 0.031787, -0.010086, 0.031125
0.001592, 0.026060, -0.010503, 0.028329
0.002076, 0.025130, -0.014480, 0.035138
0.001059, -0.026965, -0.017281, -0.005792
0.003547, -0.035641, -0.004278, -0.047518
0.001604, -0.028443, 0.008159, 0.026993
0.000301, -0.003946, -0.002401, -0.016714
0.000536, -0.017470, 0.015117, -0.001399
0.000635, -0.009505, -0.016566, -0.016429
0.001486, -0.030637, 0.003314, 0.023170
0.001217, 0.000318, 0.031177, -0.015651
0.000665, -0.001146, -0.006525, -0.024923
0.001360, -0.004395, -0.034452, -0.012418
0.000499, -0.008192, -0.004214, -0.020339
0.001606, 0.018517, 0.022003, 0.027918
0.000708, -0.021732, -0.015236, 0.001814
0.008090, 0.021847, 0.020806, -0.084735
0.002150, 0.033235, 0.005443, -0.031872
0.002673, -0.026831, -0.034782, -0.027264
0.000168, -0.011201, -0.006250, 0.001817
0.002458, -0.033782, -0.008506, -0.035273
0.001746, -0.030941, -0.006395, -0.027345
0.003423, 0.041939, -0.014286, -0.038212
0.002708, -0.032980, -0.026460, 0.030339
0.004028, -0.017188, 0.010019, 0.060265
0.010017, 0.086595, -0.002700, 0.050111
0.006895, 0.056639, 0.022512, -0.056390
0.006921, -0.035767, -0.041991, 0.062276
0.007331, 0.000184, -0.009485, 0.085092
0.052966, 0.160193, 0.023056, -0.163625
0.006052, -0.043510, 0.040590, 0.050108
0.000203, -0.013069, 0.005647, -0.000121
0.003309, -0.041448, -0.027447, 0.028939
