r2, X, Y, Z
0.000000, 0.000000, 0.000000, 0.000000
0.001857, -0.009280, 0.035889, -0.021973
0.018895, -0.042941, -0.108683, 0.072380
0.018598, 0.047239, -0.069618, -0.107332
0.003458, -0.036404, 0.041561, 0.020147
0.033036, -0.011544, -0.074867, -0.165220
0.008368, 0.073244, -0.005100, 0.054563
0.013115, 0.108377, -0.035872, 0.009100
0.004797, -0.067472, -0.013076, 0.008577
0.006084, 0.002795, -0.024407, -0.074030
0.005599, -0.060112, -0.000611, 0.044551
0.001941, 0.005153, 0.020860, -0.038460
0.000027, -0.000268, 0.004198, 0.003070
0.000222, 0.013365, 0.002477, -0.006127
0.003513, -0.024861, -0.028136, -0.045858
0.000349, -0.005449, 0.009648, 0.015050
0.001335, 0.013289, -0.008365, -0.032988
0.000368, 0.011711, 0.001575, -0.015114
0.000249, 0.002274, -0.000846, -0.015577
0.000796, 0.023234, 0.005047, -0.015176
0.000468, -0.013613, -0.012875, -0.010811
0.001135, -0.031147, -0.011545, -0.005574
0.000608, 0.001550, -0.004020, -0.024275
0.000333, 0.003551, -0.015814, -0.008405
0.000242, 0.008927, -0.007887, -0.010020
0.000207, 0.011293, 0.005509, -0.006980
0.000016, -0.000031, -0.003914, -0.000627
0.000125, 0.008468, -0.001901, -0.007058
0.001005, 0.011370, -0.013060, -0.026551
0.000354, -0.011260, -0.012120, -0.008951
0.000067, 0.002331, -0.007859, 0.000529
0.000298, 0.010539, 0.002381, -0.013448
0.000777, 0.002032, 0.001093, 0.027771
0.000420, 0.005883, -0.005138, -0.018958
0.000593, 0.006963, -0.009237, -0.021431
0.000594, 0.010076, -0.006523, -0.021208
0.000024, 0.002053, -0.003820, 0.002333
0.000169, 0.006074, -0.011469, -0.000255
0.000275, 0.003515, -0.006682, -0.014753
0.000232, 0.012116, -0.004748, 0.007945
0.000126, 0.009375, -0.006110, 0.000540
0.000601, 0.004418, -0.008869, -0.022428
0.000286, 0.003871, 0.001813, -0.016348
0.000075, -0.002512, -0.007648, 0.003167
0.000552, -0.007099, -0.008951, -0.020521
0.000332, 0.011817, -0.002377, -0.013652
0.000137, -0.001838, -0.009235, -0.006973
0.000604, 0.004377, -0.016123, -0.018020
