@RELATION train_movement

@ATTRIBUTE time NUMERIC
@ATTRIBUTE r2 NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE z NUMERIC
@ATTRIBUTE movement {moving,stopped}

@DATA
0.500000, 0.000000, 0.000000, 0.000000, 0.000000, ?
1.000000, 0.004853, 0.041932, -0.026379, -0.048979, stopped
1.500000, 0.000099, 0.003333, -0.003267, -0.008790, stopped
2.000000, 0.002233, 0.017820, -0.038833, -0.020192, stopped
2.500000, 0.002350, 0.025497, 0.039360, -0.012290, stopped
3.000000, 0.044537, -0.104307, -0.156140, -0.096317, stopped
3.500000, 0.003434, 0.053347, -0.011507, -0.021337, stopped
4.000000, 0.000264, 0.003671, -0.003877, -0.015341, stopped
4.500000, 0.004081, 0.036766, 0.013196, 0.050545, stopped
5.000000, 0.000870, 0.021579, -0.015891, 0.012303, stopped
5.500000, 0.002904, -0.020206, 0.048515, 0.011901, stopped
6.000000, 0.001953, 0.031888, -0.020787, -0.022454, stopped
6.500000, 0.000836, 0.004391, -0.002622, 0.028458, stopped
7.000000, 0.001924, -0.035198, 0.009271, -0.024476, stopped
7.500000, 0.004467, 0.054384, -0.023958, -0.030590, stopped
8.000000, 0.000287, -0.011845, -0.007505, -0.009496, stopped
8.500000, 0.005930, 0.047918, -0.042006, -0.043234, stopped
9.000000, 0.000415, 0.007801, -0.018243, -0.004592, stopped
9.500000, 0.000538, 0.007789, -0.020740, 0.006887, stopped
10.000000, 0.001303, 0.006466, -0.035095, -0.005409, stopped
10.500000, 0.001770, 0.020710, -0.020391, -0.030421, stopped
11.000000, 0.000424, -0.013090, 0.015582, -0.003063, stopped
11.500000, 0.002941, 0.019950, -0.000295, 0.050430, stopped
12.000000, 0.002032, 0.009142, -0.041116, -0.016061, stopped
12.500000, 0.000316, 0.015677, -0.002518, 0.008010, stopped
13.000000, 0.000935, -0.021000, -0.012211, -0.018562, stopped
13.500000, 0.001462, 0.013112, 0.002096, 0.035858, stopped
14.000000, 0.000374, 0.005453, -0.017650, -0.005719, stopped
14.500000, 0.019897, 0.061673, -0.033033, -0.122482, stopped
15.000000, 0.000412, -0.014118, 0.009288, 0.011253, stopped
15.500000, 0.010942, -0.014169, -0.048574, -0.091551, stopped
16.000000, 0.001662, 0.020035, -0.011231, 0.033685, stopped
16.500000, 0.000842, 0.026348, 0.001113, -0.012114, stopped
17.000000, 0.000608, 0.019083, -0.014569, -0.005642, stopped
17.500000, 0.003387, -0.048899, -0.027919, -0.014697, stopped
18.000000, 0.000443, -0.008355, -0.003330, -0.019019, stopped
18.500000, 0.000744, -0.009976, 0.021469, -0.013562, stopped
19.000000, 0.000195, -0.008052, 0.002559, 0.011106, stopped
19.500000, 0.008165, 0.089750, -0.000414, -0.010453, stopped
20.000000, 0.001161, -0.014155, -0.027931, -0.013448, stopped
20.500000, 0.006043, -0.027437, -0.067487, -0.027133, stopped
21.000000, 0.001465, -0.030996, -0.022365, -0.001960, stopped
21.500000, 0.002227, -0.039356, -0.024703, 0.008255, moving
22.000000, 0.000277, -0.009604, -0.006283, -0.012044, moving
22.500000, 0.001137, -0.014400, -0.023820, -0.019022, moving
23.000000, 0.001907, -0.002800, -0.022206, -0.037496, moving
23.500000, 0.005271, 0.069509, -0.011757, 0.017368, moving
24.000000, 0.001620, 0.023702, 0.006826, -0.031803, moving
24.500000, 0.011835, 0.035913, -0.001725, 0.102676, moving
25.000000, 0.021557, -0.008424, -0.036706, -0.141912, moving
25.500000, 0.005801, -0.001492, -0.020128, -0.073439, moving
26.000000, 0.002142, -0.036868, 0.027616, 0.004426, moving
26.500000, 0.004445, -0.010339, -0.025156, -0.060869, moving
27.000000, 0.008608, -0.068604, 0.004448, -0.062304, moving
27.500000, 0.001797, 0.010461, 0.002824, -0.040979, moving
28.000000, 0.023446, 0.132335, -0.045968, -0.061806, moving
28.500000, 0.004844, -0.058049, 0.037962, -0.005767, moving
29.000000, 0.038313, 0.165783, -0.028046, -0.100210, moving
29.500000, 0.003737, 0.050675, 0.017433, 0.029410, moving
30.000000, 0.026424, 0.104993, 0.115822, 0.044559, moving
30.500000, 0.156769, -0.291912, -0.218587, 0.154194, moving
31.000000, 0.002088, -0.036146, -0.022879, 0.016067, moving
31.500000, 0.137518, 0.004231, 0.370046, 0.023793, moving
32.000000, 0.343721, -0.215051, -0.543498, -0.045654, moving
32.500000, 0.020766, -0.128447, 0.011825, -0.064245, moving
33.000000, 0.000908, 0.020133, 0.022142, -0.003551, moving
33.500000, 0.005571, -0.065716, 0.029604, -0.019396, moving
34.000000, 0.001744, 0.035716, 0.021391, -0.003224, moving
34.500000, 0.000733, 0.009289, -0.007224, 0.024374, moving
35.000000, 0.001541, -0.029425, 0.018243, -0.018494, moving
35.500000, 0.000356, -0.001768, -0.016437, -0.009077, moving
36.000000, 0.003093, -0.024526, -0.025773, -0.042744, moving
36.500000, 0.009527, 0.032049, 0.005733, -0.092019, moving
37.000000, 0.002972, -0.022975, 0.014994, -0.047110, moving
37.500000, 0.008640, -0.077181, -0.030611, -0.041786, moving
38.000000, 0.030509, -0.038397, 0.123208, 0.117703, moving
38.500000, 0.000519, -0.022086, 0.003659, -0.004226, moving
39.000000, 0.002342, -0.012714, 0.041431, -0.021529, moving
39.500000, 0.001045, 0.016555, -0.022070, 0.016835, moving
40.000000, 0.001288, -0.028671, -0.019087, -0.010080, moving
40.500000, 0.004553, -0.001067, 0.064355, -0.020256, moving
41.000000, 0.003605, -0.016766, 0.055852, -0.014293, moving
41.500000, 0.001886, 0.004027, -0.035434, -0.024777, moving
42.000000, 0.000571, -0.014666, -0.018576, -0.003332, moving
42.500000, 0.000946, 0.001217, -0.005731, -0.030190, moving
43.000000, 0.003021, 0.027923, 0.046989, -0.005792, moving
43.500000, 0.001869, -0.014633, -0.033362, 0.023279, moving
44.000000, 0.001150, -0.009557, 0.029845, -0.012955, moving
44.500000, 0.001787, 0.005068, -0.011476, -0.040367, moving
45.000000, 0.000923, -0.007474, 0.028755, -0.006327, moving
45.500000, 0.003622, 0.037542, -0.018800, 0.043123, moving
46.000000, 0.026352, -0.029612, 0.157987, -0.022691, moving
46.500000, 0.000199, -0.009890, -0.008278, 0.005726, moving
47.000000, 0.009860, 0.032196, -0.059062, 0.073039, moving
47.500000, 0.000547, -0.019715, -0.002726, -0.012292, moving
48.000000, 0.006108, -0.006597, 0.074584, 0.022399, moving
48.500000, 0.003705, -0.019946, 0.057384, -0.003813, moving
49.000000, 0.000926, -0.019196, -0.023206, 0.004321, moving
49.500000, 0.001479, -0.011097, -0.028876, -0.022847, moving
50.000000, 0.002523, -0.025684, 0.026566, 0.034018, moving
50.500000, 0.004664, -0.028734, 0.056425, -0.025587, moving
51.000000, 0.003919, -0.016744, 0.000854, 0.060312, moving
51.500000, 0.003296, -0.002099, -0.049655, -0.028739, moving
52.000000, 0.003689, -0.026721, 0.049367, -0.023196, moving
52.500000, 0.020658, 0.131365, 0.022522, 0.053796, moving
53.000000, 0.026567, -0.092519, -0.125593, -0.047256, moving
53.500000, 0.030481, 0.028513, 0.014829, 0.171605, moving
54.000000, 0.023609, -0.122746, 0.034564, 0.085720, moving
54.500000, 0.008104, 0.082671, -0.030145, -0.018993, moving
55.000000, 0.001641, 0.008294, -0.039430, 0.004192, moving
55.500000, 0.000246, -0.006418, 0.014245, 0.001179, moving
56.000000, 0.000572, -0.020878, 0.011667, 0.000199, moving
56.500000, 0.002509, -0.003868, 0.049839, -0.003241, moving
57.000000, 0.004358, -0.028290, 0.056822, -0.018144, moving
57.500000, 0.001879, -0.005741, -0.035655, -0.023978, moving
58.000000, 0.001298, 0.016000, 0.031616, -0.006485, moving
58.500000, 0.001141, -0.020986, -0.019283, -0.018126, moving
59.000000, 0.001473, 0.011367, -0.029050, 0.022366, moving
59.500000, 0.000403, -0.016109, 0.011381, 0.003721, moving
60.000000, 0.000308, 0.005542, -0.015711, 0.005534, moving
60.500000, 0.001297, -0.025867, 0.014257, -0.020616, moving
61.000000, 0.001730, -0.010897, -0.039662, 0.006154, moving
61.500000, 0.005878, -0.074275, 0.007425, 0.017484, moving
62.000000, 0.002355, -0.027262, -0.034194, -0.021047, moving
62.500000, 0.002444, -0.015487, 0.046184, 0.008435, moving
63.000000, 0.000892, -0.015002, 0.010596, -0.023542, moving
63.500000, 0.000380, 0.006468, -0.018310, -0.001717, moving
64.000000, 0.000739, -0.004697, 0.019778, 0.018057, moving
64.500000, 0.001900, -0.027891, 0.027232, -0.019511, moving
65.000000, 0.000716, -0.007944, 0.025548, 0.000003, moving
65.500000, 0.000159, -0.009399, -0.006699, -0.005041, moving
66.000000, 0.000865, 0.001373, 0.028548, -0.006973, moving
66.500000, 0.000741, -0.005793, 0.025016, 0.009036, moving
67.000000, 0.002004, 0.036967, 0.024285, 0.006875, moving
67.500000, 0.001489, 0.035002, -0.006058, -0.015061, moving
68.000000, 0.001082, 0.030091, 0.010557, -0.008094, moving
68.500000, 0.000808, 0.028365, 0.001653, 0.001015, moving
69.000000, 0.000261, 0.008299, 0.006867, 0.012036, moving
69.500000, 0.002261, 0.017718, 0.035889, -0.025671, moving
70.000000, 0.001055, -0.017362, 0.027310, -0.002793, moving
70.500000, 0.000975, -0.028350, 0.012456, 0.004047, moving
71.000000, 0.001196, 0.009395, 0.031252, 0.011469, moving
71.500000, 0.000448, -0.013963, -0.011175, 0.011305, moving
72.000000, 0.000198, -0.000343, -0.011344, 0.008338, moving
72.500000, 0.000590, -0.019731, -0.001027, 0.014118, moving
73.000000, 0.001378, -0.021656, 0.017523, 0.024527, moving
73.500000, 0.003361, -0.046032, 0.028046, -0.021349, moving
74.000000, 0.001157, -0.016941, 0.026528, -0.012912, moving
74.500000, 0.018993, 0.038829, 0.073062, -0.110214, moving
75.000000, 0.000463, 0.015367, 0.010038, 0.011214, moving
75.500000, 0.002748, -0.046429, -0.008328, -0.022869, moving
76.000000, 0.000423, 0.018359, 0.002736, -0.008845, moving
76.500000, 0.000131, -0.010503, 0.000669, 0.004544, moving
77.000000, 0.000382, -0.012533, 0.012315, 0.008553, moving
77.500000, 0.019995, 0.025278, -0.073513, 0.118117, moving
78.000000, 0.001346, 0.014810, 0.031482, -0.011636, moving
78.500000, 0.003122, -0.030882, 0.010109, -0.045460, moving
79.000000, 0.002607, 0.043560, -0.001676, 0.026592, moving
79.500000, 0.001667, -0.012238, 0.036235, -0.014290, moving
80.000000, 0.000217, -0.007469, 0.007164, 0.010499, moving
80.500000, 0.001586, -0.001965, -0.012511, -0.037762, moving
81.000000, 0.000349, -0.018444, 0.002767, 0.000891, moving
81.500000, 0.000609, 0.013918, -0.018894, 0.007606, moving
82.000000, 0.000724, 0.019217, -0.018351, -0.004202, moving
82.500000, 0.002468, -0.032891, 0.031322, -0.020126, moving
83.000000, 0.000542, -0.010541, 0.014114, -0.015238, moving
83.500000, 0.000729, -0.020272, -0.007707, -0.016089, moving
84.000000, 0.000324, -0.005869, -0.016634, 0.003582, moving
84.500000, 0.001544, 0.000811, -0.037221, -0.012549, moving
85.000000, 0.000539, -0.012640, -0.007778, -0.017860, moving
85.500000, 0.000346, -0.014597, 0.004946, 0.010427, moving
86.000000, 0.001602, -0.003110, 0.031510, -0.024487, moving
86.500000, 0.030573, -0.061492, -0.161561, 0.026256, moving
87.000000, 0.007034, -0.002034, 0.063211, -0.055080, moving
87.500000, 0.003621, -0.043963, -0.040507, -0.006859, moving
88.000000, 0.003718, 0.051601, 0.029366, 0.013903, moving
88.500000, 0.014377, 0.037208, -0.109396, -0.032017, moving
89.000000, 0.003725, -0.042529, 0.040617, -0.016315, moving
89.500000, 0.845916, 0.908616, 0.025915, -0.140221, moving
90.000000, 0.036068, -0.187520, -0.024842, 0.016956, moving
90.500000, 0.059281, -0.084470, 0.022470, -0.227246, moving
91.000000, 0.025961, -0.039482, 0.054681, -0.146330, moving
91.500000, 0.013512, 0.091802, -0.025649, -0.066532, moving
92.000000, 0.005917, 0.024515, -0.072829, -0.003476, moving
92.500000, 0.003303, -0.024177, 0.025562, -0.045444, moving
93.000000, 0.001315, -0.006435, 0.014097, 0.032781, moving
93.500000, 0.000459, -0.004825, 0.018233, 0.010180, moving
94.000000, 0.003833, -0.032001, -0.012098, -0.051596, moving
94.500000, 0.005940, 0.019018, 0.011857, -0.073739, moving
95.000000, 0.000401, -0.018706, -0.007111, 0.000645, moving
95.500000, 0.001088, 0.001666, -0.020273, -0.025963, moving
96.000000, 0.000174, 0.007838, 0.007918, 0.007060, moving
96.500000, 0.003764, -0.012703, 0.023907, -0.055059, moving
97.000000, 0.000267, -0.008709, 0.007377, -0.011682, moving
97.500000, 0.001365, -0.001589, -0.024801, -0.027335, moving
98.000000, 0.004932, 0.033951, -0.052161, 0.032543, moving
98.500000, 0.005765, 0.073117, 0.019219, 0.007029, moving
99.000000, 0.000070, -0.005602, 0.004612, -0.004173, moving
99.500000, 0.004229, -0.014585, -0.023952, -0.058674, moving
100.000000, 0.001105, -0.003107, -0.031500, -0.010153, moving
100.500000, 0.001552, -0.034386, 0.006257, -0.018174, moving
101.000000, 0.001484, -0.031871, -0.002665, -0.021486, moving
101.500000, 0.028066, -0.125081, 0.020916, -0.109467, stopped
102.000000, 0.000560, -0.015304, -0.015734, -0.008859, stopped
102.500000, 0.019381, -0.011540, 0.051243, 0.128927, stopped
103.000000, 0.001808, -0.004866, -0.031110, 0.028580, stopped
103.500000, 0.002267, 0.043329, 0.016443, -0.010934, stopped
104.000000, 0.008137, 0.026621, -0.072983, 0.045847, stopped
104.500000, 0.002831, -0.048204, -0.001126, 0.022486, stopped
105.000000, 0.011002, 0.015645, -0.086498, 0.057227, stopped
105.500000, 0.000598, -0.019074, 0.014950, -0.003309, stopped
106.000000, 0.001590, -0.027658, 0.010475, -0.026748, stopped
106.500000, 0.003480, 0.008878, -0.028951, -0.050622, stopped
107.000000, 0.004858, -0.023829, -0.017947, -0.062992, stopped
107.500000, 0.000292, -0.000645, -0.015933, -0.006164, stopped
108.000000, 0.002311, 0.030190, -0.017808, -0.032899, stopped
108.500000, 0.005844, -0.027444, -0.024320, -0.067078, stopped
109.000000, 0.002721, -0.027054, -0.035941, -0.026404, stopped
109.500000, 0.000465, 0.003323, -0.016063, -0.013990, stopped
110.000000, 0.020593, 0.142037, 0.011238, 0.017087, stopped
110.500000, 0.023926, -0.075557, -0.134793, -0.006971, stopped
111.000000, 0.008116, 0.041368, 0.009836, 0.079422, stopped
111.500000, 0.009997, 0.052277, 0.022352, -0.082247, stopped
112.000000, 0.001810, 0.040891, 0.002149, 0.011551, stopped
112.500000, 0.001174, 0.025521, 0.010625, 0.020232, stopped
113.000000, 0.000173, -0.012834, 0.002071, -0.002055, stopped
113.500000, 0.000664, 0.012162, 0.012109, 0.019211, stopped
114.000000, 0.000596, 0.001324, -0.016148, -0.018256, stopped
114.500000, 0.004242, -0.041231, 0.016379, -0.047679, stopped
115.000000, 0.001107, 0.011395, 0.000345, 0.031257, stopped
115.500000, 0.000214, 0.006567, 0.013044, -0.000952, stopped
116.000000, 0.001227, 0.011957, -0.022914, -0.023644, stopped
116.500000, 0.001456, 0.016483, -0.012309, -0.032132, stopped
117.000000, 0.001021, -0.024414, 0.012159, -0.016635, stopped
117.500000, 0.004223, 0.023279, -0.046205, -0.039323, stopped
118.000000, 0.007944, -0.056677, -0.000651, -0.068782, stopped
118.500000, 0.000316, 0.002654, 0.017523, 0.001468, stopped
119.000000, 0.011314, 0.066009, -0.075861, -0.034672, stopped
119.500000, 0.000769, -0.001879, 0.012950, -0.024444, stopped
120.000000, 0.011216, 0.088131, -0.039691, -0.043283, stopped
120.500000, 0.000724, 0.003787, -0.020483, -0.017044, stopped
121.000000, 0.001221, -0.000778, -0.022320, -0.026882, stopped
121.500000, 0.002612, -0.012090, -0.014500, -0.047488, stopped
122.000000, 0.000517, -0.018379, 0.005455, -0.012209, stopped
122.500000, 0.000141, 0.005239, 0.004231, 0.009800, stopped
123.000000, 0.001877, -0.003618, -0.019452, -0.038541, stopped
123.500000, 0.001716, 0.018439, -0.035233, -0.011597, stopped
124.000000, 0.001565, 0.010018, -0.023955, -0.029841, stopped
124.500000, 0.000733, 0.020599, 0.013499, 0.011240, stopped
125.000000, 0.001371, 0.004042, 0.003055, -0.036675, stopped
125.500000, 0.001555, -0.011385, 0.004384, -0.037500, stopped
126.000000, 0.006263, 0.016939, -0.020589, -0.074516, stopped
126.500000, 0.004159, -0.006099, -0.060564, 0.021305, stopped
127.000000, 0.002852, -0.022671, -0.047219, -0.010406, stopped
127.500000, 0.007483, 0.002668, -0.062200, 0.060060, stopped
128.000000, 0.002471, -0.017441, -0.019715, 0.042163, stopped
128.500000, 0.001164, -0.022102, -0.025994, -0.000392, moving
129.000000, 0.000325, -0.012356, -0.000000, -0.013134, moving
129.500000, 0.004168, 0.031118, 0.002068, -0.056527, moving
130.000000, 0.007221, 0.009708, -0.023974, 0.080941, moving
130.500000, 0.003693, -0.008058, -0.047006, -0.037665, moving
131.000000, 0.018257, 0.107120, -0.060061, 0.056345, moving
131.500000, 0.014383, 0.028334, -0.002340, -0.116512, moving
132.000000, 0.003647, -0.011963, -0.020605, 0.055490, moving
132.500000, 0.002528, -0.027154, 0.004025, 0.042126, moving
133.000000, 0.003782, 0.014551, -0.012175, -0.058501, moving
133.500000, 0.001429, -0.004968, 0.031538, 0.020236, moving
134.000000, 0.003418, 0.006439, -0.035828, -0.045747, moving
134.500000, 0.015886, 0.093052, -0.085010, 0.000772, moving
135.000000, 0.001097, 0.029135, -0.007114, 0.014040, moving
135.500000, 0.003076, -0.055192, 0.004738, 0.002648, moving
136.000000, 0.003352, 0.001648, -0.053588, -0.021847, moving
136.500000, 0.001274, 0.024575, 0.019032, -0.017534, moving
137.000000, 0.008732, 0.035805, 0.085911, -0.008327, moving
137.500000, 0.006181, 0.020512, 0.046303, 0.060132, moving
138.000000, 0.013528, -0.047345, -0.037640, -0.099346, moving
138.500000, 0.002542, -0.016087, 0.046791, 0.009684, moving
139.000000, 0.006488, 0.025185, 0.049523, 0.058319, moving
139.500000, 0.002159, 0.035873, -0.029317, -0.003522, moving
140.000000, 0.000995, -0.029662, 0.007727, 0.007447, moving
140.500000, 0.000350, -0.016074, 0.003077, -0.009056, moving
141.000000, 0.001013, -0.017524, -0.011028, 0.024176, moving
141.500000, 0.007804, 0.022403, -0.006536, -0.085204, moving
142.000000, 0.002776, 0.036466, 0.022257, -0.030836, moving
142.500000, 0.000230, 0.004194, -0.013979, 0.004110, moving
143.000000, 0.003583, -0.005050, -0.021415, -0.055666, moving
143.500000, 0.002596, -0.026745, 0.038744, 0.019484, moving
144.000000, 0.004122, 0.035526, 0.008469, -0.052804, moving
144.500000, 0.001122, -0.018815, -0.013316, 0.024309, moving
145.000000, 0.001030, -0.003722, -0.011095, 0.029880, moving
145.500000, 0.005686, 0.047402, -0.047918, -0.033813, moving
146.000000, 0.001355, 0.009134, -0.034635, 0.008510, moving
146.500000, 0.001823, -0.028328, -0.025600, -0.019119, moving
147.000000, 0.055821, -0.015774, -0.023051, -0.234608, moving
147.500000, 0.001676, -0.002638, 0.013985, -0.038391, moving
148.000000, 0.000537, -0.018813, 0.012771, 0.004513, moving
148.500000, 0.001832, 0.017039, -0.019171, -0.034263, moving
149.000000, 0.002537, -0.030324, 0.027439, 0.029410, moving
149.500000, 0.002749, 0.009055, -0.026025, -0.044605, moving
150.000000, 0.000663, -0.003538, -0.000962, -0.025486, moving
150.500000, 0.000115, -0.007383, -0.007090, -0.003121, moving
151.000000, 0.000389, 0.001117, 0.007649, -0.018156, moving
151.500000, 0.002962, -0.033140, 0.001353, -0.043149, moving
152.000000, 0.002337, 0.015700, -0.038589, -0.024520, moving
152.500000, 0.021692, -0.079858, 0.002791, -0.123723, moving
153.000000, 0.000849, -0.020358, 0.013029, 0.016268, moving
153.500000, 0.004407, -0.014449, -0.017414, -0.062411, moving
154.000000, 0.001287, 0.013792, 0.014054, 0.029996, moving
154.500000, 0.001746, -0.010260, 0.038706, -0.011926, moving
155.000000, 0.001850, -0.004699, -0.028989, -0.031431, moving
155.500000, 0.006594, -0.008089, -0.030514, 0.074815, moving
156.000000, 0.001163, 0.026419, -0.021391, 0.002666, moving
156.500000, 0.000714, -0.004560, 0.001835, -0.026257, moving
157.000000, 0.002208, 0.000405, 0.034240, -0.032182, moving
157.500000, 0.000513, -0.015532, 0.010847, -0.012398, moving
158.000000, 0.000631, -0.007972, -0.015959, -0.017696, moving
158.500000, 0.003600, -0.001513, -0.007493, -0.059509, moving
159.000000, 0.002454, 0.033719, -0.035942, -0.005024, moving
159.500000, 0.001109, 0.026933, -0.001663, -0.019519, moving
160.000000, 0.002034, -0.019672, -0.007628, -0.039859, moving
160.500000, 0.000466, 0.005165, 0.017053, 0.012203, moving
161.000000, 0.000871, -0.007441, 0.002955, -0.028409, moving
161.500000, 0.000722, 0.019193, -0.013680, -0.012899, moving
162.000000, 0.004274, -0.024327, -0.016346, -0.058440, moving
162.500000, 0.002540, -0.040238, 0.021436, -0.021478, moving
163.000000, 0.001921, 0.002658, 0.009431, -0.042719, moving
163.500000, 0.001902, 0.002255, 0.006714, -0.043037, moving
164.000000, 0.000304, -0.005838, 0.014843, -0.007074, moving
164.500000, 0.000777, -0.018610, 0.007914, -0.019181, moving
165.000000, 0.005441, 0.039574, -0.017303, -0.059795, moving
