r2, X, Y, Z
0.000000, 0.000000, 0.000000, 0.000000
0.026404, 0.056608, 0.041246, -0.146624
0.000202, 0.010815, 0.006198, 0.006831
0.000983, -0.029758, -0.002767, -0.009478, 0, Accelerating
0.004877, -0.050647, 0.010691, -0.046881
0.001874, -0.038751, -0.016528, -0.009978
0.001463, -0.034957, -0.011440, 0.010513
0.002665, -0.023081, 0.020636, -0.041310
0.001439, -0.018950, -0.010705, 0.031073
0.007475, 0.041738, -0.061558, 0.044082
0.006581, 0.070245, 0.040133, -0.006018
0.009544, 0.043413, -0.083835, 0.025112
0.006152, 0.019288, 0.054449, -0.053063
0.000120, -0.008497, -0.006747, -0.001359
0.003385, 0.033039, -0.029503, 0.037724
0.010027, 0.044161, -0.059450, -0.067400
0.013954, -0.023945, -0.070511, -0.091702
0.003286, -0.011015, 0.056254, -0.000751
0.000564, 0.023613, -0.002114, -0.001395
0.011725, 0.031704, -0.068251, -0.077855
0.005352, 0.014296, 0.071662, 0.003483
0.011122, 0.064516, 0.018048, -0.081448
0.006526, 0.007458, -0.080336, -0.004038
0.002035, 0.023989, 0.036105, -0.012467
0.009146, 0.075432, -0.032447, 0.049021
0.001348, 0.000318, 0.004767, 0.036399
0.013998, 0.075656, -0.006145, -0.090755
0.008591, 0.008705, -0.060187, -0.069945
0.006430, 0.068204, 0.016148, 0.038950
0.006166, 0.050094, 0.016668, 0.058131
0.001358, 0.027710, -0.020122, -0.013626
0.005519, -0.014558, -0.040764, -0.060380
0.000890, 0.014402, -0.000582, -0.026119
0.000137, 0.009093, -0.006602, 0.003215
0.007699, 0.079282, -0.014201, 0.034804
0.002894, 0.032166, -0.028340, -0.032495
0.001861, 0.007671, -0.030564, -0.029458
0.000150, -0.009043, -0.001699, 0.008108
0.000261, 0.001295, 0.015983, 0.001870
0.000088, 0.000059, 0.002695, 0.008970
0.003225, 0.032913, -0.014773, -0.043857
0.012698, 0.069006, -0.050999, -0.073046
0.007878, -0.041037, 0.074455, -0.025509
0.004650, 0.052732, -0.043177, -0.002361
0.049207, 0.219548, -0.020205, -0.024444
0.020115, 0.136535, -0.032836, -0.019882
0.000575, -0.015095, -0.001236, 0.018599
0.001892, 0.042018, -0.010133, 0.004866
0.001516, 0.037925, -0.008755, 0.000886
