@RELATION train_movement

@ATTRIBUTE time NUMERIC
@ATTRIBUTE r2 NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE z NUMERIC
@ATTRIBUTE movement {moving,stopped}

@DATA
0.500000, 0.000000, 0.000000, 0.000000, 0.000000, stopped
1.000000, 0.100331, -0.007950, 0.306728, 0.078650, stopped
1.500000, 0.002840, -0.024858, 0.037115, -0.029062, stopped
2.000000, 0.003960, -0.016650, 0.031849, 0.051657, stopped
2.500000, 0.049530, -0.186617, -0.034098, -0.116369, stopped
3.000000, 0.041904, 0.141389, 0.098672, -0.110351, stopped
3.500000, 0.039619, 0.104539, -0.073493, 0.152610, stopped
4.000000, 0.012230, -0.042875, -0.004456, 0.101845, stopped
4.500000, 0.000348, 0.009591, 0.003734, 0.015555, stopped
5.000000, 0.001636, 0.013658, -0.009890, -0.036769, stopped
5.500000, 0.003120, -0.023001, -0.033838, 0.038026, stopped
6.000000, 0.044110, 0.019685, -0.041016, -0.205038, stopped
6.500000, 0.008686, -0.065489, 0.031241, 0.058489, stopped
7.000000, 0.040741, -0.124192, 0.021102, -0.157708, stopped
7.500000, 0.035290, -0.024223, -0.161509, 0.092831, stopped
8.000000, 0.005329, -0.007130, 0.048369, -0.054213, stopped
8.500000, 0.019000, 0.119868, -0.065443, -0.018664, stopped
9.000000, 0.022735, 0.106471, 0.024379, -0.103945, stopped
9.500000, 0.005355, 0.058862, 0.008419, -0.042653, stopped
10.000000, 0.004174, -0.014756, -0.044247, -0.044705, stopped
10.500000, 0.001071, 0.029136, 0.000973, -0.014871, stopped
11.000000, 0.003196, -0.018455, 0.017103, -0.050622, stopped
11.500000, 0.001525, -0.032296, -0.020085, -0.008867, stopped
12.000000, 0.000155, 0.001528, -0.011345, 0.004882, stopped
12.500000, 0.000522, -0.001300, 0.001026, -0.022794, stopped
13.000000, 0.000225, -0.003113, -0.009396, 0.011282, stopped
13.500000, 0.002419, -0.011258, 0.037569, -0.029681, stopped
14.000000, 0.002005, 0.013943, -0.042542, -0.000689, stopped
14.500000, 0.000130, 0.002566, 0.010651, -0.003117, stopped
15.000000, 0.000891, -0.022697, -0.007496, -0.017879, stopped
15.500000, 0.031351, 0.171516, 0.041708, 0.013911, stopped
16.000000, 0.016892, -0.002653, -0.125641, -0.033164, stopped
16.500000, 0.017761, 0.039702, 0.090093, -0.089822, stopped
17.000000, 0.013397, 0.035928, -0.044905, -0.100447, stopped
17.500000, 0.014953, 0.054348, -0.107669, -0.020178, stopped
18.000000, 0.012207, -0.016457, -0.004299, 0.109167, stopped
18.500000, 0.030073, 0.123503, -0.057190, -0.107470, stopped
19.000000, 0.028983, 0.035590, -0.116511, -0.118918, stopped
