@RELATION train_movement

@ATTRIBUTE time NUMERIC
@ATTRIBUTE r2 NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE z NUMERIC
@ATTRIBUTE movement {moving,stopped}

@DATA
890,0.00226,-0.022448,-0.00187,-0.041864,moving
890.5,0.001977,0.02451,-0.033791,0.015299,moving
891,0.024589,-0.069356,-0.048183,-0.132126,moving
891.5,0.006589,-0.037386,-0.038208,-0.061082,moving
892,0.008179,-0.027555,-0.068655,-0.052021,moving
892.5,0.001897,0.004511,-0.026254,-0.034463,moving
893,0.000716,0.004371,-0.005424,-0.025835,moving
893.5,0.002077,0.031034,0.031302,-0.011579,moving
894,0.001923,-0.016258,-0.023899,-0.032982,moving
894.5,0.000825,-0.014096,-0.019886,-0.015181,moving
895,0.00176,0.005033,0.02192,0.035419,moving
895.5,0.006677,0.022045,0.077861,0.011335,moving
896,0.055593,0.186462,0.024704,-0.14218,moving
896.5,0.015126,-0.043518,-0.052039,-0.102588,moving
897,0.000595,-0.00476,-0.021597,0.010271,moving
897.5,0.013994,0.112205,0.016004,-0.033878,moving
898,0.012895,-0.040448,0.009352,0.105697,moving
898.5,0.008695,0.022144,0.012015,-0.089779,moving
899,0.000297,0.007867,-0.00917,0.012306,moving
899.5,0.000647,0.00178,-0.004685,0.024946,moving
900,0.001177,0.008581,-0.00558,0.032741,moving
900.5,0.000801,-0.009283,0.026532,-0.00325,moving
901,0.000401,0.004197,-0.00788,0.017934,moving
901.5,0.013066,-0.041267,0.034423,0.100884,moving
902,0.009163,0.014531,-0.024729,0.091324,moving
902.5,0.002676,-0.016872,0.048896,0.000685,moving
903,0.019542,0.01332,-0.017562,0.138043,moving
903.5,0.002448,0.014574,-0.016444,0.044326,moving
904,0.00457,-0.020252,0.027147,0.058503,moving
904.5,0.024763,-0.020153,0.039443,0.151001,moving
905,0.03964,0.010889,0.007348,0.198663,moving
905.5,0.006514,0.006477,0.005683,0.080249,moving
906,0.017812,-0.046753,0.032394,0.120733,moving
906.5,0.000469,0.013246,-0.016741,-0.003593,moving
907,0.000114,-0.005584,-0.00494,-0.007613,moving
